Code,Nitrosocosmicus sp.,Udaeobacter sp.,Gemmata sp.,Humicola olivacea,Aspergillus terreus,Ilumatobacter sp.,Talaromyces marneffei,Scytalidium sp.,Rubrobacter sp.,Fusarium brachygibbosum,Humicola sp.,Curvularia lunata,Neobacillus drentensis,Rhodoplanes sp.,Solirubrobacter sp.,Target_Crop_Grouped,Irrigation_Usage,Organic_Practices,Biodynamic_Methods,Total_P_Applied,Total_K_Applied,Total_Zinc_Applied,Total_Sulfur_Applied,Previous_Year_Crop_Frijol,Irrigation_Type_Superficie,Product_1_Type_Fertilizante sintético
AZM05E,2.032620773265778,-2.948595703583706,-0.3833179254178804,-2.1941295969367616,2.0327171164034414,0.2099052508439736,0.5233144327657882,1.4953635383538324,1.0440989095705129,-2.3173311201627356,2.038341804204175,0.7175239700114151,-5.574181907341202,0.5700563234157825,1.5456899605229424,0,-1,-1,-1,0,0,0,0,0,0,0
AZM05F,1.861114387301324,-1.3961086256231083,0.1035265240793842,-0.7748318122423171,1.1384602598929243,0.1244903774946714,1.2453506665592344,-3.6576163921358473,0.7230261493567167,-5.3459661007601165,1.1981031690272503,3.357931513976324,-5.3459661007601165,0.3356562792534304,1.0843173655039808,0,-1,-1,-1,0,0,0,0,0,0,0
AZM05G,1.748922231168632,-1.3544771132801083,0.217037817566743,-0.7305910469432986,2.4250160974432333,-0.3950983302702724,-0.5883971541900082,-1.047557353958492,1.1050752670318549,3.4089902829503416,-2.601783866052402,2.5432625426914144,-5.373600146905994,-0.7993095197856828,1.5635789070715342,3,1,0,0,3,2,3,0,1,1,1
AZM05H,0.758962882554381,-2.3617909603622813,0.1073779455496262,0.7473588591186408,1.283192940562732,0.2204155679021199,0.6470997691877288,-2.091281945561092,1.0890697998085657,1.3898097275365209,-5.466867661898758,0.7480924129703612,0.3167302297487467,0.1639660187282383,1.5589947574960437,3,1,1,0,0,0,0,0,1,1,0
AZM05I,1.887157533902944,-1.2980948588933814,0.1497293564662634,-0.883347816981641,0.3142004335325588,0.3866037785461202,0.0381260037286037,-0.2867141025550268,0.8396288687573654,-0.1690945878755315,2.2143939297279056,1.1826868323321869,-5.670160294607827,0.1319885754946875,1.405642707353405,0,1,0,-1,2,2,1,1,0,1,1
AZM05J,2.385998790061708,-1.836154781287984,0.232982456382268,-0.9417483797577512,1.3435793968415122,0.6095885327615145,-0.7183717143259821,-1.0867291393760086,1.127875648250684,-2.292903151025947,2.588190991625563,3.0697988762854225,-3.654618924938561,0.4416846077244478,1.5985737798094235,0,-1,-1,-1,0,0,0,0,0,0,0
AZM05K,1.439016270514045,-0.0743879185959195,-1.2571575781618938,0.8404102985569315,1.238834891038989,-0.3771363950601699,0.8506089281881971,0.638008540444912,0.7621352659157773,-0.0739958043798672,0.3621578421868008,1.777176687337591,0.2464713036841984,-0.3441576555026726,1.0873738007326317,3,1,0,0,3,2,3,0,1,1,1
AZM05L,2.0573386465346957,-0.6683179491090524,0.993257877510802,0.413337998846211,1.7300718965015016,0.782401227735144,2.541421026220476,-2.3122550687620302,1.1770857249429607,-4.938236074410384,1.8233036883866376,1.0226887109790854,-4.938236074410384,1.030574826482129,1.3281347621965809,0,-1,-1,-1,0,0,0,0,0,0,0
AZM05M,2.023334511284482,1.3151653733745494,1.040562610884544,-0.0377204292194853,-0.2901686247140977,1.891097217246327,0.2179089513813101,2.0311920996171127,1.2340868378339946,-4.813832614203976,3.73848194455842,-0.1149987956258408,-4.813832614203976,1.916315989604311,2.292802527420109,2,-1,-1,-1,0,0,0,0,0,0,0
AZM05N,1.3294465095774628,-0.3481588910443823,-1.0285398252695257,0.1401763623666632,-1.583237561964914,-0.4976085826117385,-1.8339010850692623,0.4442574702782312,0.741851115370018,-1.680538989995682,0.81844236218292,2.1287982517871233,0.2509907649770332,0.3539482363776166,1.073372751847438,1,0,0,0,1,1,1,2,0,1,1
