Microbe_Name
Lysobacter oryzae
Lysobacter sediminicola
Lysobacter sp.
Lysobacter yangpyeongensis
Pseudoxanthomonas indica
Pseudoxanthomonas mexicana
Silanimonas algicola
Stenotrophomonas maltophilia
Thermomonas sp.
Xanthomonas euvesicatoria
Pseudomonas boreopolis
Brevinema sp.
Leptonema illini
Turneriella parva
Turneriella sp.
Salinispira sp.
Spirochaeta aurantia
Treponema sp.
Treponema stenostreptum
Treponema zuelzerae
Sumerlaea sp.
Protochlamydia sp.
Omnitrophus sp.
Chthoniobacter sp.
Udaeobacter copiosus
Udaeobacter sp.
Terrimicrobium sp.
Xiphinematobacter sp.
Alterococcus sp.
Cephaloticoccus sp.
Geminisphaera sp.
Lacunisphaera sp.
Opitutus sp.
Pedosphaera sp.
Luteolibacter flavescens
Luteolibacter gellanilyticus
Luteolibacter sp.
Brevifollis gellanilyticus
Prosthecobacter sp.
Roseimicrobium gellanilyticum
Roseimicrobium sp.
Verrucomicrobium spinosum
